x,y,signal,noise,bin
7,14,1.6188717907698728e-16,6.103429662630767e-18,35
7,15,1.5151681958349727e-16,5.973422298134818e-18,58
7,16,1.3818450436272879e-16,5.80913043698427e-18,112
7,17,1.2337800334930963e-16,5.598231180776968e-18,220
7,18,1.0896196985608228e-16,5.448410782010249e-18,258
7,19,9.763673901472648e-17,5.337781903093247e-18,294
7,20,8.80174086333428e-17,5.1933246576613395e-18,334
7,21,7.994737949900115e-17,5.042917628900551e-18,370
7,22,7.281188132591115e-17,4.90286332417257e-18,411
7,23,6.683208320169952e-17,4.789847568547973e-18,453
7,24,6.167752422620999e-17,4.698766752847968e-18,485
7,25,5.692680195415585e-17,4.609010067969342e-18,509
7,26,5.2938231489137564e-17,4.536728492563507e-18,527
7,27,4.891970527653223e-17,4.515475592212978e-18,536
7,28,4.591648076335209e-17,4.56637286825162e-18,557
7,29,4.332367592136441e-17,4.651674827720092e-18,566
7,30,4.085802853296134e-17,4.791905736682981e-18,566
7,31,3.839806199405551e-17,4.951532229167778e-18,579
7,32,3.578683060037986e-17,5.133538361120783e-18,579
8,0,5.610631953196095e-17,5.468665302955116e-18,179
8,1,6.07051297006972e-17,5.3023348267901236e-18,156
8,2,6.611554393473225e-17,5.209140000648727e-18,156
8,3,7.195383629181371e-17,5.1336328846024834e-18,141
8,4,7.938663115882999e-17,5.128112526356544e-18,130
8,5,8.87574506164228e-17,5.218902772324068e-18,91
8,6,9.998392945222759e-17,5.453634430943052e-18,72
8,7,1.1487904378722628e-16,5.641766242962933e-18,48
8,8,1.344671391920647e-16,5.91759186582154e-18,39
8,9,1.5809160171870575e-16,6.196969914947113e-18,28
8,10,1.8267414302127304e-16,6.4773039185704746e-18,20
8,11,2.0398419565430625e-16,6.737194118238704e-18,16
8,12,2.1706866799461856e-16,6.86867283962531e-18,17
8,13,2.1690671127021777e-16,6.859636543411092e-18,22
8,14,2.0484864181379267e-16,6.7230062642119856e-18,31
8,15,1.8631765457662562e-16,6.461892215976316e-18,56
8,16,1.647819325793457e-16,6.154997398721671e-18,115
8,17,1.4229995057430398e-16,5.842748307488129e-18,219
8,18,1.2258779822911264e-16,5.565726816331348e-18,255
8,19,1.0710543164438922e-16,5.388655237509094e-18,288
8,20,9.447237755852347e-17,5.232997721397476e-18,328
8,21,8.434890530162235e-17,5.033186399523781e-18,364
8,22,7.611267366662118e-17,4.9298788642188225e-18,399
8,23,6.928959791560282e-17,4.8561410863739836e-18,445
8,24,6.400648642072842e-17,4.745175844761952e-18,481
8,25,5.897072487172831e-17,4.644130180094356e-18,504
8,26,5.465417098815945e-17,4.5881283722578194e-18,518
8,27,5.0677510678732444e-17,4.558584836993954e-18,536
8,28,4.759644695205667e-17,4.6013212805292794e-18,557
8,29,4.4751152475935424e-17,4.7025646919544396e-18,566
8,30,4.200129301700395e-17,4.7963050292075984e-18,566
8,31,3.954274773086545e-17,4.975410366234261e-18,579
8,32,3.707067615571985e-17,5.123055239866448e-18,579
9,0,5.832806783660879e-17,5.345483036591347e-18,179
9,1,6.282420144291933e-17,5.204418570524839e-18,179
9,2,6.89042556666099e-17,5.16171601731719e-18,159
9,3,7.581917138761699e-17,5.121200689349216e-18,145
9,4,8.428959617031748e-17,5.142018827653003e-18,134
9,5,9.575204916849038e-17,5.271658932474374e-18,96
9,6,1.1028204750687336e-16,5.465105386701782e-18,81
9,7,1.2943240292377827e-16,5.705976525325867e-18,46
9,8,1.5668624659560082e-16,6.051645149250463e-18,38
9,9,1.9169132823007018e-16,6.5802341803325785e-18,21
9,10,2.3153464799250715e-16,7.081530509594493e-18,14
9,11,2.6796733758270914e-16,7.40491354436605e-18,11
9,12,2.896763901626824e-16,7.609305347101632e-18,9
9,13,2.878080381132287e-16,7.558809232888622e-18,13
9,14,2.6464537720075086e-16,7.352891683210857e-18,24
9,15,2.3276402429715207e-16,6.998622921341977e-18,57
9,16,1.981101556412221e-16,6.48445533236693e-18,118
9,17,1.650527942794954e-16,6.063553084511349e-18,222
9,18,1.3806366383503492e-16,5.700854178452362e-18,254
9,19,1.171908035051762e-16,5.426018913598325e-18,286
9,20,1.0158730967791912e-16,5.227332064820908e-18,325
9,21,8.946574434621157e-17,5.018936079143054e-18,358
9,22,7.95947723658824e-17,4.8380673678999784e-18,393
9,23,7.210710651566631e-17,4.721128380091645e-18,440
9,24,6.637943482619163e-17,4.624863764997449e-18,473
9,25,6.100827641399176e-17,4.53747272026798e-18,500
9,26,5.648498639743592e-17,4.469914516548129e-18,518
9,27,5.254524326376832e-17,4.424196145422808e-18,532
9,28,4.911589771504312e-17,4.426015158222842e-18,550
9,29,4.6081839127104624e-17,4.506634968613174e-18,562
9,30,4.3148427569225615e-17,4.710324005987566e-18,574
9,31,4.078112706326949e-17,4.81064317696932e-18,574
9,32,3.8396796153237843e-17,4.917553405241188e-18,582
10,0,5.973017252026298e-17,5.404187323543114e-18,181
10,1,6.475329116089798e-17,5.281892683703938e-18,181
10,2,7.094639913639039e-17,5.219772047027833e-18,165
10,3,7.857945227198127e-17,5.1874044450358945e-18,155
10,4,8.831109013105451e-17,5.246878047517925e-18,143
10,5,1.0071487854384821e-16,5.389070273643014e-18,131
10,6,1.1780525007541621e-16,5.620139736513623e-18,86
10,7,1.423849416931014e-16,5.9545746414292326e-18,51
10,8,1.7632551822608936e-16,6.373309495484776e-18,40
10,9,2.2255581139782063e-16,6.9213230854171045e-18,18
10,10,2.8172875449938914e-16,7.560299345609183e-18,12
10,11,3.437504964795517e-16,8.17137867786562e-18,7
10,12,3.8205670503254815e-16,8.531954375444858e-18,4
10,13,3.7625869009960973e-16,8.466771186891888e-18,5
10,14,3.357264084641491e-16,8.057511856964866e-18,23
10,15,2.813422039311071e-16,7.47277778015593e-18,59
10,16,2.2860349578173026e-16,6.874445743160173e-18,198
10,17,1.8503341513093195e-16,6.374186787330914e-18,225
10,18,1.5072224657732617e-16,5.946318708213826e-18,257
10,19,1.2470772505437458e-16,5.60397042603717e-18,287
10,20,1.0569969473749341e-16,5.348743735314031e-18,324
10,21,9.258685149648842e-17,5.136728625068093e-18,356
10,22,8.264788887221611e-17,4.973646299380086e-18,390
10,23,7.419409899320538e-17,4.861799755157446e-18,435
10,24,6.774954766038206e-17,4.75100153540185e-18,467
10,25,6.237580012743622e-17,4.637356729018766e-18,494
10,26,5.777172556283219e-17,4.639098462271379e-18,516
10,27,5.37822326835291e-17,4.578875896376419e-18,532
10,28,5.012302684464783e-17,4.481035876997067e-18,550
10,29,4.673021317446434e-17,4.516276876663298e-18,562
10,30,4.424563517444447e-17,4.630713699473633e-18,574
10,31,4.212652449229386e-17,4.764234827754962e-18,582
10,32,3.9498256792718116e-17,5.0364593532809565e-18,582
11,0,6.065637514920971e-17,5.426646734853251e-18,189
11,1,6.609106626844916e-17,5.3261645993502685e-18,189
11,2,7.213797248689045e-17,5.373035080483963e-18,178
11,3,7.972407217400606e-17,5.3528545367334545e-18,161
11,4,8.99575771004498e-17,5.380827198626386e-18,150
11,5,1.0333816830051605e-16,5.571835996409148e-18,142
11,6,1.220776751274896e-16,5.864965989502968e-18,132
11,7,1.5052096983334436e-16,6.235296962965574e-18,83
11,8,1.9113584349975746e-16,6.732648943831079e-18,43
11,9,2.4661547355783997e-16,7.396716324654422e-18,19
11,10,3.238864090090753e-16,8.161910282656921e-18,10
11,11,4.1740624247662817e-16,8.997962460189795e-18,6
11,12,4.806251494854497e-16,9.527106529684997e-18,2
11,13,4.691367497845144e-16,9.394248642967336e-18,1
11,14,4.0283453362850226e-16,8.797691296469966e-18,25
11,15,3.2452149279020676e-16,8.041560952802031e-18,172
11,16,2.5505774247565547e-16,7.27081282374662e-18,208
11,17,2.001426206381458e-16,6.622685112675239e-18,234
11,18,1.596652938685409e-16,6.1202072095573285e-18,261
11,19,1.305910354658504e-16,5.716161109748081e-18,292
11,20,1.095128515431428e-16,5.422732739378517e-18,326
11,21,9.455820925803758e-17,5.217406938338943e-18,357
11,22,8.380157151895453e-17,5.037103546921837e-18,391
11,23,7.532525344829838e-17,4.855241847016526e-18,432
11,24,6.833000055668253e-17,4.7286294177824165e-18,464
11,25,6.296823908364337e-17,4.637574418663456e-18,491
11,26,5.823242838200794e-17,4.552477562343431e-18,512
11,27,5.38417639798379e-17,4.50158741187048e-18,529
11,28,5.020241006690858e-17,4.465696800172295e-18,547
11,29,4.74146278420298e-17,4.4626118191468574e-18,560
11,30,4.492611220461906e-17,4.546695899167538e-18,572
11,31,4.209890982817498e-17,4.659737611687182e-18,572
11,32,3.948793875282537e-17,4.833300555455481e-18,587
12,0,6.098714824329271e-17,5.489632699482842e-18,202
12,1,6.630087796625352e-17,5.340238935839136e-18,202
12,2,7.287168417855531e-17,5.267427634509125e-18,185
12,3,8.022390312277318e-17,5.267561268903761e-18,175
12,4,9.03203000610131e-17,5.361270045102312e-18,162
12,5,1.0467188124059636e-16,5.59155836595961e-18,153
12,6,1.2434812212411474e-16,5.974241450169497e-18,144
12,7,1.5227865612630538e-16,6.398265563132733e-18,135
12,8,1.9428385445977912e-16,6.835213024430406e-18,87
12,9,2.529490619740478e-16,7.424645406970157e-18,44
12,10,3.3381699127638337e-16,8.211168105364634e-18,15
12,11,4.3242193438686504e-16,9.20520596741844e-18,8
12,12,5.03021520653281e-16,9.823684816731606e-18,3
12,13,4.953816883819263e-16,9.613222042956859e-18,0
12,14,4.2324983158222123e-16,8.968005308024212e-18,171
12,15,3.360808424734699e-16,8.147810843906897e-18,200
12,16,2.590794911142451e-16,7.33870202830437e-18,221
12,17,1.9990731151260528e-16,6.6558891725167326e-18,244
12,18,1.5772281979789284e-16,6.111911439897623e-18,269
12,19,1.2872372097658532e-16,5.716792319468276e-18,298
12,20,1.0856247031301643e-16,5.44696811433763e-18,331
12,21,9.415042030130977e-17,5.2414986091225244e-18,362
12,22,8.334437186502969e-17,5.082396787850954e-18,394
12,23,7.476057267685792e-17,4.9131871598854196e-18,434
12,24,6.828080978962029e-17,4.775761918473791e-18,463
12,25,6.326982651874445e-17,4.694593261670312e-18,490
12,26,5.840160235964926e-17,4.6240372435223335e-18,511
12,27,5.428197933561365e-17,4.5442634975359905e-18,529
12,28,5.0843460420220494e-17,4.4798397107939806e-18,547
12,29,4.808401154452154e-17,4.500978020389728e-18,560
12,30,4.540978124853613e-17,4.5661549240110505e-18,572
12,31,4.2699750567229045e-17,4.66710343825381e-18,573
12,32,4.0345279231127947e-17,4.836004117261265e-18,587
13,0,6.146712320757796e-17,5.532995801206056e-18,216
13,1,6.645950293017438e-17,5.396186277218481e-18,216
13,2,7.256256445779846e-17,5.29624321443585e-18,195
13,3,8.024190489735014e-17,5.295897043420855e-18,184
13,4,9.072802972867606e-17,5.444579590053742e-18,177
13,5,1.0382330314069968e-16,5.604366348061729e-18,166
13,6,1.222126122975693e-16,5.8072827764484325e-18,160
13,7,1.4805836114643938e-16,6.230315651095533e-18,151
13,8,1.8507106154216484e-16,6.8636377040644776e-18,148
13,9,2.362446091534019e-16,7.346108121811695e-18,146
13,10,3.014164362885352e-16,7.96112089952318e-18,147
13,11,3.748876180121076e-16,8.723294457190522e-18,149
13,12,4.313546201297916e-16,9.238829760989479e-18,163
13,13,4.315443668940104e-16,9.245107178942055e-18,173
13,14,3.7810653723947013e-16,8.813260018895032e-18,194
13,15,3.0587921249393997e-16,8.097027887386047e-18,212
13,16,2.393849601281469e-16,7.275568988308631e-18,233
13,17,1.8788639502097026e-16,6.657201519969189e-18,256
13,18,1.508092614189789e-16,6.242754234317734e-18,279
13,19,1.242263178433252e-16,5.8413834624607025e-18,305
13,20,1.060898907675527e-16,5.5383330062669276e-18,337
13,21,9.280190944016079e-17,5.303176647118286e-18,367
13,22,8.24246020149951e-17,5.0567751639162294e-18,398
13,23,7.46783058024282e-17,4.918407999060326e-18,438
13,24,6.716136352374248e-17,4.808394415035651e-18,466
13,25,6.193904522456325e-17,4.702410352028631e-18,492
13,26,5.743306376867169e-17,4.637405103441227e-18,513
13,27,5.3102010528000644e-17,4.518861985806943e-18,513
13,28,4.988907821053551e-17,4.478160990504823e-18,548
13,29,4.748206469950434e-17,4.529132733308321e-18,548
13,30,4.50897477457066e-17,4.591880800752154e-18,573
13,31,4.296896798331411e-17,4.7045877421089625e-18,573
13,32,4.058497833222148e-17,4.890651190409117e-18,587
14,0,6.031092852717227e-17,5.44730297269073e-18,240
14,1,6.585075323068386e-17,5.423926736520723e-18,240
14,2,7.189929564115482e-17,5.34606907715516e-18,213
14,3,7.871771572182012e-17,5.194691716917551e-18,201
14,4,8.809439912059013e-17,5.2671787698276344e-18,190
14,5,9.942424460181226e-17,5.515301949223747e-18,182
14,6,1.15535809517611e-16,5.7573359916124244e-18,176
14,7,1.3806945739027568e-16,6.002810545415054e-18,170
14,8,1.6928309346189034e-16,6.394833650971032e-18,168
14,9,2.0658244139077275e-16,6.795620360291096e-18,167
14,10,2.498977337030517e-16,7.261731638750395e-18,169
14,11,2.9588744283880287e-16,7.731258354107755e-18,174
14,12,3.2928503916622183e-16,8.091720642700064e-18,183
14,13,3.319079028815393e-16,8.097241611639909e-18,199
14,14,3.023362088465987e-16,7.794467934808032e-18,211
14,15,2.559605060331482e-16,7.266037099807016e-18,226
14,16,2.0690998295681244e-16,6.643883774760561e-18,247
14,17,1.6735029220446726e-16,6.224042833762499e-18,267
14,18,1.381871546640543e-16,5.9246840398293104e-18,295
14,19,1.1631567714915394e-16,5.7130105935224985e-18,320
14,20,1.0086827462243847e-16,5.550944501261313e-18,343
14,21,8.857276257629156e-17,5.1469900959490524e-18,376
14,22,7.949748240198076e-17,4.969738040828958e-18,409
14,23,7.202232443322276e-17,4.807534005834063e-18,444
14,24,6.573179954616684e-17,4.692023330236199e-18,471
14,25,6.11984336106693e-17,4.597791644501182e-18,496
14,26,5.684380165609834e-17,4.482079914748307e-18,517
